_step,actor/entropy,actor/grad_norm,actor/loss,actor/lr,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,perf/throughput,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,timing_s/step,training/global_step,training/num_turns/max,training/num_turns/mean,training/num_turns/min
1,0.4980481266975403,0.9370275139808655,0.07696589827537537,6.25e-09,1.0,0.0013671868946403265,-0.20000000298023224,1.0,0.0013671868946403265,-0.20000000298023224,610.495687738484,0.05859375,1024,310.65625,1,66.1364212899989,1,6,2.78125,2
2,0.4824056327342987,1.1001137495040894,0.10212957859039307,1.25e-08,1.0,0.05742187052965164,-0.20000000298023224,1.0,0.05742187052965164,-0.20000000298023224,700.4219654646737,0.0546875,1024,309.08984375,1,57.34079166599986,2,6,2.890625,2
3,0.5304346084594727,0.8161721229553223,-0.057333603501319885,1.875e-08,1.0,0.010742186568677425,-0.20000000298023224,1.0,0.010742186568677425,-0.20000000298023224,698.3072586687142,0.0546875,1024,304.9296875,1,57.42959063099988,3,6,2.7734375,2
4,0.5312236547470093,0.8360835909843445,-0.01635848358273506,2.5e-08,1.0,-0.01914062537252903,-0.20000000298023224,1.0,-0.01914062537252903,-0.20000000298023224,696.2890269077036,0.06640625,1024,292.84375,2,56.640272180000466,4,4,2.703125,2
5,0.649707555770874,1.0012850761413574,-0.11360187083482742,3.125e-08,1.0,0.0062499986961483955,-0.20000000298023224,1.0,0.0062499986961483955,-0.20000000298023224,660.5544187110008,0.04296875,1024,291.734375,4,58.97167424300096,5,6,2.859375,2
6,0.5895054936408997,0.9458512663841248,-0.09383518248796463,3.75e-08,1.0,0.002148438710719347,-0.20000000298023224,1.0,0.002148438710719347,-0.20000000298023224,663.5782786963746,0.046875,1024,273.33203125,12,56.95221078400027,6,6,2.796875,2
7,0.5052332282066345,0.9554183483123779,-0.18846330046653748,4.375e-08,1.0,-0.005468748509883881,-0.20000000298023224,1.0,-0.005468748509883881,-0.20000000298023224,665.79266191125,0.05078125,1024,268.93359375,1,56.55176476700035,7,6,2.6953125,2
8,0.4647499620914459,1.1954567432403564,-0.06004464626312256,5e-08,1.0,0.006250000558793545,-0.20000000298023224,1.0,0.006250000558793545,-0.20000000298023224,676.6593008241086,0.0390625,1024,277.875,8,56.514408290000574,8,6,2.8046875,2
9,0.5237899422645569,0.8460407257080078,-0.0885576456785202,5.625e-08,1.0,-0.0380859375,-0.20000000298023224,1.0,-0.0380859375,-0.20000000298023224,669.8953568496205,0.05078125,1024,268.6484375,1,56.481209510000554,9,6,2.6640625,2
10,0.4860314130783081,0.7853972911834717,-0.08475702255964279,6.25e-08,1.0,0.01777343824505806,-0.20000000298023224,1.0,0.01777343824505806,-0.20000000298023224,707.3272907114978,0.046875,1024,310.94140625,2,57.08990806700058,10,6,2.8828125,2
11,0.47029387950897217,0.9291778206825256,0.15361478924751282,6.875e-08,1.0,0.02617187425494194,-0.20000000298023224,1.0,0.02617187425494194,-0.20000000298023224,725.8749779949513,0.07421875,1024,327.79296875,1,56.86757534199933,11,6,2.90625,2
12,0.529667317867279,0.9913278222084045,0.0475897490978241,7.5e-08,1.0,-0.00859374925494194,-0.20000000298023224,1.0,-0.00859374925494194,-0.20000000298023224,656.2223982071249,0.04296875,1024,269.484375,1,57.35403135100023,12,6,2.75,2
13,0.5102975964546204,1.0981900691986084,-0.0650915652513504,8.125e-08,1.0,0.0224609375,-0.20000000298023224,1.0,0.0224609375,-0.20000000298023224,660.4373380013719,0.04296875,1024,268.06640625,1,56.91418070600048,13,6,2.796875,2
14,0.5024367570877075,1.0291545391082764,0.1109457015991211,8.75e-08,1.0,0.02304687350988388,-0.20000000298023224,1.0,0.02304687350988388,-0.20000000298023224,698.4775899816941,0.06640625,1024,307.65625,15,57.15716663300009,14,6,2.8125,2
15,0.4803341329097748,0.9023572206497192,0.06842456012964249,9.375e-08,1.0,0.004882812965661287,-0.20000000298023224,1.0,0.004882812965661287,-0.20000000298023224,711.201809768008,0.0703125,1024,311.546875,1,56.88680687299893,15,6,2.7890625,2
16,0.4637087881565094,0.8520688414573669,-0.09529449045658112,1e-07,1.0,-0.004296874161809683,-0.20000000298023224,1.0,-0.004296874161809683,-0.20000000298023224,671.2121024400269,0.0625,1024,298.8515625,1,58.909098713000276,16,6,2.7734375,2
17,0.46713683009147644,0.980026364326477,0.10292166471481323,1.0624999999999999e-07,1.0,-4.656612873077393e-10,-0.20000000298023224,1.0,-4.656612873077393e-10,-0.20000000298023224,689.332814139259,0.07421875,1024,297.62109375,1,57.0780168780002,17,6,2.734375,2
18,0.5067769289016724,0.9495659470558167,0.08962655067443848,1.125e-07,1.0,0.00390625,-0.20000000298023224,1.0,0.00390625,-0.20000000298023224,681.7927248730832,0.05859375,1024,283.46484375,1,56.57547901699945,18,6,2.78125,2
19,0.4749022126197815,0.8986480832099915,-0.029722636565566063,1.1874999999999999e-07,1.0,-0.01406250149011612,-0.20000000298023224,1.0,-0.01406250149011612,-0.20000000298023224,678.1272135463697,0.07421875,1024,285.87109375,1,57.384144483001364,19,6,2.75,2
20,0.4633295238018036,0.9207910895347595,0.029400121420621872,1.25e-07,1.0,-0.001171874813735485,-0.20000000298023224,1.0,-0.001171874813735485,-0.20000000298023224,685.3519315389625,0.04296875,1024,287.67578125,8,56.7799523270005,20,6,2.796875,2
21,0.5198614001274109,0.9148221015930176,-0.06383132189512253,1.3125e-07,1.0,-0.005859374068677425,-0.20000000298023224,1.0,-0.005859374068677425,-0.20000000298023224,685.1017125004903,0.0390625,1024,285.984375,1,56.617870444999426,21,6,2.8984375,2
22,0.4891495108604431,0.8820276856422424,-0.042106375098228455,1.375e-07,1.0,-0.0087890625,-0.20000000298023224,1.0,-0.0087890625,-0.20000000298023224,634.2891498036652,0.05078125,1024,263.375,1,58.802834656000414,22,6,2.7265625,2
23,0.44085103273391724,0.8199999928474426,0.09502851217985153,1.4374999999999997e-07,1.0,0.00859374925494194,-0.20000000298023224,1.0,0.00859374925494194,-0.20000000298023224,698.446979136308,0.07421875,1024,302.23828125,1,57.021150051001314,23,6,2.75,2
24,0.4603451192378998,0.9267747402191162,0.03699887543916702,1.5e-07,1.0,0.0007812492549419403,-0.20000000298023224,1.0,0.0007812492549419403,-0.20000000298023224,674.0591700087846,0.06640625,1024,296.8359375,1,58.76264542100034,24,6,2.8515625,2
25,0.5266333222389221,1.00228750705719,0.10783886909484863,1.5624999999999999e-07,1.0,0.006445311941206455,-0.20000000298023224,1.0,0.006445311941206455,-0.20000000298023224,689.9194944081863,0.0546875,1024,298.03515625,2,57.19254249200094,25,6,2.859375,2
26,0.5454129576683044,0.9017271399497986,-0.011425133794546127,1.625e-07,1.0,-0.0013671868946403265,-0.20000000298023224,1.0,-0.0013671868946403265,-0.20000000298023224,691.3903620773079,0.06640625,1024,312.69140625,1,58.57942520100005,26,6,2.84375,2
27,0.526066780090332,0.9143144488334656,0.02155127376317978,1.6875e-07,1.0,0.04746093600988388,-0.20000000298023224,1.0,0.04746093600988388,-0.20000000298023224,665.064287048912,0.03125,1024,296.71484375,1,58.99993544099925,27,6,2.9296875,2
28,0.4867594242095947,1.2433898448944092,0.005109505727887154,1.75e-07,1.0,0.01855468563735485,-0.20000000298023224,1.0,0.01855468563735485,-0.20000000298023224,684.6788167531516,0.04296875,1024,294.67578125,10,57.02856440799951,28,6,2.9140625,2
29,0.5062406659126282,0.9137693643569946,-0.011381898075342178,1.8124999999999999e-07,1.0,0.011914064176380634,-0.20000000298023224,1.0,0.011914064176380634,-0.20000000298023224,686.2495183323654,0.05859375,1024,311.62890625,2,58.9089666660002,29,6,2.890625,2
30,0.45534875988960266,0.9128214716911316,-0.010283254086971283,1.875e-07,1.0,0.02578125149011612,-0.20000000298023224,1.0,0.02578125149011612,-0.20000000298023224,690.2358316455216,0.0703125,1024,315.8359375,1,59.00084888799938,30,6,2.9609375,2
31,0.4628533124923706,1.0299626588821411,0.09400751441717148,1.9375e-07,1.0,0.015625,-0.20000000298023224,1.0,0.015625,-0.20000000298023224,700.0946341563613,0.08203125,1024,301.85546875,1,56.72768803300096,31,6,2.828125,2
32,0.4701087176799774,0.6860107183456421,0.12237868458032608,2e-07,1.0,-0.007226560264825821,-0.20000000298023224,1.0,-0.007226560264825821,-0.20000000298023224,739.8466571401976,0.0859375,1024,337.1796875,1,56.98951207400023,32,6,2.875,2
33,0.505659818649292,0.9085224270820618,0.13293012976646423,2.0624999999999998e-07,1.0,0.01640625111758709,-0.20000000298023224,1.0,0.01640625111758709,-0.20000000298023224,714.8803922588836,0.06640625,1024,319.09375,1,57.15641447500093,33,6,2.9921875,2
34,0.47386059165000916,0.8442780375480652,0.07602880150079727,2.1249999999999998e-07,1.0,0.01914062537252903,-0.20000000298023224,1.0,0.01914062537252903,-0.20000000298023224,703.0321066863671,0.05859375,1024,311.43359375,1,57.49630723200062,34,6,2.90625,2
